x,y,z,risk
-3.7892437,-5.829816,1.0892012,0.0
-1.0258324,4.1893425,2.8600812,0.6
0.43455586,5.9785185,-2.4813964,0.68333334
-0.037674125,-2.1756768,3.7510571,0.0
1.2687587,-4.150656,-0.6075015,0.175
-1.5481907,2.1739266,-3.136261,0.375
7.182053,0.16287567,3.0499744,0.51666665
-1.7187349,0.45742714,4.5702686,0.5833333
6.11738,3.0082347,-0.069673166,0.0
-4.059495,3.3559577,4.1011267,0.041666668
-2.0450516,-0.71168303,-0.42492616,0.46666667
-3.360946,1.983912,-1.8408825,0.38333333
-4.5276585,0.16098255,1.4816878,0.675
-0.13610685,-0.6922574,2.7608674,0.725
2.8861597,-3.2995672,-2.8582206,0.09166667
-1.5983813,1.799144,4.543615,0.5083333
2.6587703,-2.0729544,1.2518833,0.18333334
-0.47537354,-2.6355627,-4.7899246,0.525
-3.3076448,2.94835,-0.5650538,0.675
-1.8780677,1.7269614,3.630789,0.0
-2.424961,-4.85472,-4.037712,0.25833333
-2.5956142,2.1160812,-0.84555626,0.375
0.24823216,0.95327693,-5.724292,0.55
-1.3658328,2.8385046,-2.604698,0.225
-0.69819176,-2.7009497,0.01447575,0.39166668
1.7255816,6.6927295,-0.86023724,0.083333336
2.470309,0.6301429,-3.5889049,0.008333334
1.4872346,-2.8608804,-0.0030516442,0.19166666
2.7499712,-3.0219905,0.47017568,0.30833334
2.973431,2.8292017,1.0268488,0.21666667
-0.7768942,-0.9300311,-2.534136,0.69166666
-4.055055,3.973335,4.0151033,0.45833334
2.2630327,0.5012849,-2.2533264,0.041666668
4.0830526,1.2459127,4.0885153,0.0
2.4175153,0.1855964,-0.99113655,0.008333334
-1.831285,-0.71696687,-0.1069922,0.083333336
-2.8867402,-4.090989,-0.8662214,0.28333333
-2.8000743,-3.0487733,3.160098,0.43333334
2.651953,-0.8381307,-0.030654928,0.34166667
1.3807406,-3.174775,4.8550277,0.18333334
-3.7778885,-1.509865,-3.3827412,0.016666668
-0.3938552,0.46257454,0.5363419,0.15833333
-4.9993315,0.27913728,1.500391,0.51666665
0.7688561,4.5365324,-0.18148834,0.65
-4.448169,-5.472128,-6.1728115,0.025
-3.5531344,0.22683033,6.125513,0.23333333
4.808037,-4.190597,0.95735323,0.29166666
-4.0504317,2.559053,5.248246,0.0
2.833654,5.062272,-4.370363,0.09166667
4.782382,0.031262815,-2.0434556,0.475
-3.1014967,0.30716634,0.3905403,0.18333334
-0.41365823,3.2833753,-4.785808,0.625
-2.1757045,-2.1334293,0.46374762,0.058333334
5.266676,0.5331734,-1.5619681,0.13333334
4.663572,-4.2665453,3.9302812,0.575
-1.1634818,0.94308436,-4.67839,0.34166667
-3.582635,1.7776904,-4.4865003,0.51666665
2.0322552,5.131045,-0.9850983,0.475
-1.2788799,0.49649686,-3.17838,0.425
3.0691962,0.024659071,2.1724186,0.4
3.3083043,2.7771297,3.1458368,0.51666665
0.668115,-5.687371,-0.122262955,0.5416667
1.596944,-0.93209875,1.4675391,0.575
-0.519032,-3.608488,1.8880033,0.6166667
3.6040242,-2.7362776,-1.3769764,0.35
