dataset,t,y_t,g_l2_norm,y_ci
Infectious,0,0.0,107.45697,0.0
Infectious,1,0.6,72.38785,0.09601999791710057
Infectious,2,0.68333334,102.05881,0.09117453296644724
Infectious,3,0.0,323.67886,0.0
Infectious,4,0.175,462.33105,0.07447355235249625
Infectious,5,0.375,258.9884,0.09488809198208172
Infectious,6,0.51666665,101.31634,0.09794554053264039
Infectious,7,0.5833333,123.020325,0.09662930422829505
Infectious,8,0.0,75.12656,0.0
Infectious,9,0.041666668,135.35509,0.03916595803979664
Infectious,10,0.46666667,158.23085,0.097781979751345
Infectious,11,0.38333333,181.3753,0.09529488719588497
Infectious,12,0.675,271.3153,0.09180147057645646
Infectious,13,0.725,150.42938,0.08751679838750957
Infectious,14,0.09166667,70.54077,0.056556747255587854
Infectious,15,0.5083333,224.59964,0.09798638805244533
Infectious,16,0.18333334,265.31113,0.07584015460882036
Infectious,17,0.525,241.38559,0.09787742334164706
Infectious,18,0.675,148.06418,0.09180147057645646
Infectious,19,0.0,324.91537,0.0
Infectious,20,0.25833333,423.0721,0.08579276675219447
Infectious,21,0.375,199.42416,0.09488809198208172
Infectious,22,0.55,64.58328,0.09750876883644875
Infectious,23,0.225,98.30056,0.08184613613360131
Infectious,24,0.39166668,94.59915,0.09567207359796852
Infectious,25,0.083333336,129.40247,0.05417153903042116
Infectious,26,0.008333334,103.36827,0.01781756382728508
Infectious,27,0.19166666,54.945427,0.07714798807674621
Infectious,28,0.30833334,71.90967,0.09051378709196616
Infectious,29,0.21666667,130.59096,0.08074682013214171
Infectious,30,0.69166666,141.56624,0.09051378709196616
Infectious,31,0.45833334,100.62306,0.0976591295112637
Infectious,32,0.041666668,63.03967,0.03916595803979664
Infectious,33,0.0,76.55717,0.0
Infectious,34,0.008333334,69.44782,0.01781756382728508
Infectious,35,0.083333336,50.32892,0.05417153903042116
Infectious,36,0.28333333,63.28507,0.08832090447188844
Infectious,37,0.43333334,83.96428,0.09712498265827271
Infectious,38,0.34166667,76.0789,0.09295661494897738
Infectious,39,0.18333334,115.87493,0.07584015460882036
Infectious,40,0.016666668,112.062485,0.025091743763029126
Infectious,41,0.15833333,89.911064,0.0715504400269659
Infectious,42,0.51666665,40.18706,0.09794554053264039
Infectious,43,0.65,103.85567,0.09348604173886066
Infectious,44,0.025,120.70625,0.030600490192152153
Infectious,45,0.23333333,142.67796,0.0828987061856845
Infectious,46,0.29166666,118.92014,0.08908781500394865
Infectious,47,0.0,94.74703,0.0
Infectious,48,0.09166667,101.06928,0.056556747255587854
Infectious,49,0.475,98.57992,0.09787742334164706
Infectious,50,0.18333334,66.85058,0.07584015460882036
Infectious,51,0.625,98.574844,0.09488809198208172
Infectious,52,0.058333334,156.7833,0.04593704654029227
Infectious,53,0.13333334,185.12428,0.06662718972036699
Infectious,54,0.575,103.03397,0.09689122767309742
Infectious,55,0.34166667,87.08617,0.09295661494897738
Infectious,56,0.51666665,102.59142,0.09794554053264039
Infectious,57,0.475,171.54008,0.09787742334164706
Infectious,58,0.425,121.922104,0.09689122767309742
Infectious,59,0.4,103.5326,0.09601999791710057
Infectious,60,0.51666665,116.54184,0.09794554053264039
Infectious,61,0.5416667,98.610344,0.09765912885564976
Infectious,62,0.575,140.83679,0.09689122767309742
Infectious,63,0.6166667,185.88976,0.09529488578493812
Infectious,64,0.35,353.72305,0.09348604173886066
