dataset,combo_id,lambda_g,learning_rate,fusion_hidden_dim,rkhs_proj_hidden_dim,weight_decay,rmse,brier,ece,tag
Infectious,5,0.01,0.0005,64,64,0.0001,0.2162187426175467,0.506810130388348,0.7119059545454546,tune_infectious_005
Infectious,21,0.2,0.0005,64,64,0.0001,0.21629475629866102,0.506991755318274,0.712033489090909,tune_infectious_021
Infectious,13,0.05,0.0005,64,64,0.0001,0.216334802557643,0.5070212205541395,0.7120541954545454,tune_infectious_013
Infectious,9,0.03,0.0005,64,64,0.0001,0.21633554320749757,0.5069813083143342,0.7120261627272727,tune_infectious_009
Infectious,25,0.3,0.0005,64,64,0.0001,0.2163994936309016,0.5071058537538456,0.7121136136363636,tune_infectious_025
Infectious,17,0.1,0.0005,64,64,0.0001,0.2164652634705208,0.5071529178045922,0.7121466727272727,tune_infectious_017
Infectious,4,0.01,0.0005,64,64,0.0,0.21650323797909005,0.5072413670685951,0.712208770909091,tune_infectious_004
Infectious,12,0.05,0.0005,64,64,0.0,0.21661182682623603,0.5074107213065331,0.7123276627272728,tune_infectious_012
Infectious,8,0.03,0.0005,64,64,0.0,0.21661659774104658,0.507408684884552,0.7123262254545455,tune_infectious_008
Infectious,16,0.1,0.0005,64,64,0.0,0.21663211438898594,0.5074411438608544,0.7123489954545454,tune_infectious_016
Infectious,24,0.3,0.0005,64,64,0.0,0.21665556091629348,0.5075159842857985,0.71240152,tune_infectious_024
Infectious,20,0.2,0.0005,64,64,0.0,0.21666991705933264,0.5075275414266675,0.7124096463636364,tune_infectious_020
Infectious,7,0.01,0.001,64,64,0.0001,0.2216223409604783,0.5152530457040655,0.7178112463636364,tune_infectious_007
Infectious,11,0.03,0.001,64,64,0.0001,0.22181021718433902,0.5155323202135268,0.7180057563636364,tune_infectious_011
Infectious,6,0.01,0.001,64,64,0.0,0.22182669154346427,0.5155576421330149,0.7180233745454545,tune_infectious_006
Infectious,15,0.05,0.001,64,64,0.0001,0.22183901954857937,0.515564891191807,0.7180284290909091,tune_infectious_015
Infectious,23,0.2,0.001,64,64,0.0001,0.22194652114159222,0.515752387389737,0.7181589681818181,tune_infectious_023
Infectious,19,0.1,0.001,64,64,0.0001,0.22194845769088783,0.5157502565899118,0.7181575018181818,tune_infectious_019
Infectious,27,0.3,0.001,64,64,0.0001,0.2220198281368273,0.5158595174111096,0.7182335663636363,tune_infectious_027
Infectious,14,0.05,0.001,64,64,0.0,0.2220783565514411,0.5159571427728294,0.7183015345454546,tune_infectious_014
Infectious,10,0.03,0.001,64,64,0.0,0.22208986304317005,0.5159802223636523,0.7183175872727272,tune_infectious_010
Infectious,18,0.1,0.001,64,64,0.0,0.22221220580937848,0.5161824737648278,0.7184583463636365,tune_infectious_018
Infectious,26,0.3,0.001,64,64,0.0,0.222225688860879,0.5161966719318843,0.7184682354545455,tune_infectious_026
Infectious,22,0.2,0.001,64,64,0.0,0.2222476862151806,0.5162282710469278,0.7184902236363637,tune_infectious_022
Infectious,0,0.0,0.0005,64,64,0.0,0.24207838258408698,0.5476501881571365,0.7400338945454545,tune_infectious_000
Infectious,1,0.0,0.0005,64,64,0.0001,0.24257492432788058,0.5484351909638839,0.7405640918181817,tune_infectious_001
Infectious,2,0.0,0.001,64,64,0.0,0.24538245960439745,0.5529497336373309,0.743605820909091,tune_infectious_002
Infectious,3,0.0,0.001,64,64,0.0001,0.24633770349518733,0.5544776055395595,0.7446324663636363,tune_infectious_003
