dataset,beta_per_second,gamma_per_second,median_y,std_y,prop_low_y,prop_high_y,mean_y,min_y,max_y,objective,sample_windows,sample_window_ids,round
Infectious,0.01,4.6296e-05,0.34375,0.20625,0.3,0.1,0.30625,0.0625,0.625,0.39375000000000004,10,0|8|15|23|30|38|45|53|60|68,0
Infectious,0.005,2.3148e-05,0.28125,0.25,0.3,0.2,0.3125,0.0625,0.8125,0.03125,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.008,2.3148e-05,0.28125,0.2531828637566137,0.2,0.3,0.35625,0.0625,0.8125,0.03125,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.01,5.787e-05,0.28125,0.18582585934148133,0.2,0.2,0.275,0.0,0.5625,0.03125,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.008,5.787e-05,0.125,0.2125,0.3,0.2,0.2375,0.0,0.625,0.14999999999999997,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.016,5.787e-05,0.28125,0.17776828316659868,0.1,0.2,0.30625,0.0625,0.625,0.33125000000000004,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.01,4.6296e-05,0.34375,0.20625,0.3,0.1,0.30625,0.0625,0.625,0.39375000000000004,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.005,4.6296e-05,0.125,0.20501524333570909,0.5,0.1,0.2,0.0,0.625,0.45,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.005,5.787e-05,0.0625,0.23393709090266127,0.7,0.2,0.16875,0.0,0.625,0.5249999999999999,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.008,3.7036800000000004e-05,0.25,0.16165646445471957,0.1,0.1,0.25625,0.0,0.5625,0.6000000000000001,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.01,7.407360000000001e-05,0.25,0.15322063340164077,0.3,0.0,0.23125,0.0,0.4375,0.6000000000000001,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.008,4.6296e-05,0.21875,0.18285923547909744,0.1,0.1,0.2625,0.0,0.5625,0.6312500000000001,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.01,3.7036800000000004e-05,0.34375,0.1985297521783574,0.0,0.3,0.38125,0.125,0.75,0.6937500000000001,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.0125,7.407360000000001e-05,0.15625,0.1678215197762194,0.4,0.0,0.20625,0.0,0.5,0.6937500000000001,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.016,4.6296e-05,0.3125,0.13975424859373686,0.0,0.2,0.375,0.1875,0.625,0.7034830056250526,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.016,3.7036800000000004e-05,0.34375,0.13919410907075055,0.0,0.2,0.3875,0.25,0.625,0.7369735637169978,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.008,7.407360000000001e-05,0.125,0.15674920254980565,0.5,0.0,0.18125,0.0,0.5,0.75,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.0125,3.7036800000000004e-05,0.375,0.1956559480312316,0.0,0.3,0.375,0.125,0.6875,0.7500000000000002,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.005,3.7036800000000004e-05,0.15625,0.1340475661845451,0.2,0.0,0.1875,0.0,0.5,0.7575597352618196,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.005,7.407360000000001e-05,0.09375,0.15674920254980568,0.5,0.0,0.13125,0.0,0.5,0.9375,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.0125,5.787e-05,0.25,0.1346291201783626,0.0,0.0,0.2875,0.125,0.5,1.26148351928655,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.01,2.3148e-05,0.46875,0.1606870016522805,0.0,0.2,0.45625,0.125,0.75,1.3125000000000002,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.0125,2.3148e-05,0.46875,0.19852975217835742,0.0,0.4,0.49375,0.1875,0.75,1.3125000000000002,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.016,7.407360000000001e-05,0.28125,0.08860904299223642,0.0,0.0,0.29375,0.1875,0.4375,1.4768138280310545,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.016,2.3148e-05,0.53125,0.19764235376052372,0.0,0.5,0.5,0.125,0.8125,1.6875000000000002,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.0125,4.6296e-05,0.5,0.16405505935508358,0.0,0.0,0.36875,0.125,0.5,2.1000000000000005,10,0|8|15|23|30|38|45|53|60|68,1
Infectious,0.005,1.8518400000000002e-05,0.28125,0.25685903235043145,0.3,0.2,0.31875,0.0625,0.875,0.03125,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.005,2.3148e-05,0.28125,0.25,0.3,0.2,0.3125,0.0625,0.8125,0.03125,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.00625,3.7036800000000004e-05,0.21875,0.27386127875258304,0.2,0.2,0.3125,0.0,0.875,0.03125,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.008,2.3148e-05,0.28125,0.2531828637566137,0.2,0.3,0.35625,0.0625,0.8125,0.03125,10,0|8|15|23|30|38|45|53|60|68,2
Infectious,0.004,1.1574e-05,0.1875,0.25007811279678194,0.4,0.2,0.26875,0.0,0.8125,0.0625,10,0|8|15|23|30|38|45|53|60|68,2
